topic	row	note	audio	russian	ossetian
54. Ч.11. Счет	5	групповая привязка осетинских клипов — сверить на слух	sound/0051.mp3	Рассчитай нас, пожалуйста.	Ӕхца-ма нӕ райс, дӕ хорзӕхӕй.
54. Ч.11. Счет	6	групповая привязка осетинских клипов — сверить на слух	sound/0052.mp3	Принесите, пожалуйста, счет.	Хыгъд-ма рахӕсс, дӕ хорзӕхӕй.
54. Ч.2. Завтрак, обед, ужин	1	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Ты кушал?	Ды бахордтай?
54. Ч.2. Завтрак, обед, ужин	2	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	Ты завтракал?	Аходӕн хордтай?
54. Ч.2. Завтрак, обед, ужин	3	групповая привязка осетинских клипов — сверить на слух	sound/0010.mp3	Я голоден.	Ӕз ӕххормаг дӕн.
54. Ч.2. Завтрак, обед, ужин	4	групповая привязка осетинских клипов — сверить на слух	sound/0011.mp3	Мы голодны.	Мах ӕххормаг стӕм.
54. Ч.2. Завтрак, обед, ужин	6	групповая привязка осетинских клипов — сверить на слух	sound/0013.mp3	Пойдем позавтракаем.	Цом аходӕн бахӕрӕм.
54. Ч.2. Завтрак, обед, ужин	7	групповая привязка осетинских клипов — сверить на слух	sound/0016.mp3	Я хочу пить.	Дон нуазын мӕм цӕуы.
54. Ч.2. Завтрак, обед, ужин	9	групповая привязка осетинских клипов — сверить на слух	sound/0021.mp3	обед?	Сихор
54. Ч.2. Завтрак, обед, ужин	10	групповая привязка осетинских клипов — сверить на слух	sound/0024.mp3	Угощайся, ешь, пожалуйста.	Райс-ма, ахӕр-ма, дӕ хорзӕхӕй.
54. Ч.2. Завтрак, обед, ужин	11	групповая привязка осетинских клипов — сверить на слух	sound/0025.mp3	Угощайтесь, ешьте, пожалуйста.	Райсут-ма, ахӕрут-ма, уӕ хорзӕхӕй.
54. Ч.3. Меню	1	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Дай, пожалуйста, мне меню.	Меню-ма мӕм авӕр, дӕ хорзӕхӕй.
54. Ч.3. Меню	2	групповая привязка осетинских клипов — сверить на слух	sound/0008.mp3	Официантка, обслужи меня, пожалуйста. Я очень спешу.	Официанткӕ, фӕрӕв дз-ма мӕ кӕн, дӕ хорзӕхӕй. Тынг тагъд кӕнын.
54. Ч.3. Меню	3	групповая привязка осетинских клипов — сверить на слух	sound/0009.mp3	Официантка, обслужи нас, пожалуйста. Мы очень спешим.	Официанткӕ, фӕрӕв дз-ма нӕ кӕн, дӕ хорзӕхӕй. Тынг тагъд кӕнӕм.
54. Ч.3. Меню	4	групповая привязка осетинских клипов — сверить на слух	sound/0011.mp3	Принеси мне, пожалуйста…	Рахӕсс-ма мын, дӕ хорзӕхӕй…
54. Ч.3. Меню	5	групповая привязка осетинских клипов — сверить на слух	sound/0012.mp3	Принеси нам, пожалуйста…	Рахӕсс-ма нын, дӕ хорзӕхӕй…
54. Ч.4. Закуски	1	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0013.mp3	У вас есть…	Ис уӕм…
54. Ч.4. Закуски	2	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0014.mp3	колбасу — лук.	къалбас.
54. Ч.4. Закуски	4	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0018.mp3	редиску.	, тж.
54. Ч.4. Закуски	5	групповая привязка осетинских клипов — сверить на слух	sound/0023.mp3	салат из огурцов.	джитъритӕй салат.
54. Ч.5. Первые блюда	1	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Подай мне, пожалуйста…	Авӕр-ма мын, дӕ хорзӕхӕй…
54. Ч.5. Первые блюда	2	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	борщ мясной.	борщ дзидзаимӕ.
54. Ч.5. Первые блюда	3	групповая привязка осетинских клипов — сверить на слух	sound/0009.mp3	мясной суп. Ч.6. Вторые	дзидзайы хъӕрхуыпп. блюда.
54. Ч.6. Вторые блюда	1	групповая привязка осетинских клипов — сверить на слух	sound/0009.mp3	мясной суп. Ч.6. Вторые	дзидзайы хъӕрхуыпп. блюда.
54. Ч.6. Вторые блюда	5	групповая привязка осетинских клипов — сверить на слух	sound/0020.mp3	курятина?	Карчы фыд уӕм ис?
54. Ч.6. Вторые блюда	6	групповая привязка осетинских клипов — сверить на слух	sound/0022.mp3	почки?	Уыргтӕ уӕм ис?
54. Ч.7. Напитки	1	групповая привязка осетинских клипов — сверить на слух	sound/0027.mp3	Ч. 7. Минеральная вода.	Напитки тж.
54. Ч.8. Порция	1	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Принеси, пожалуйста…	Рахӕсс-ма, дӕ хорзӕхӕй…
54. Ч.8. Порция	2	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	полпорции котлет.	порцийы ’рдӕг катлеттӕ.
54. Ч.8. Порция	4	групповая привязка осетинских клипов — сверить на слух	sound/0009.mp3	два стакана компота.	дыууӕ агуывзӕйы кампот.
54. Ч.9. Прибор	1	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Принеси, пожалуйста…	Рахӕсс-ма, дӕ хорзӕхӕй…
54. Ч.9. Прибор	2	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0013.mp3	Дай мне, пожалуйста,…	Авӕр-ма мын, дӕ хорзӕхӕй,…
54. Ч.9. Прибор	3	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0014.mp3	Дай нам, пожалуйста,…	Авӕр-ма нын, дӕ хорзӕхӕй,…
54. Ч.9. Прибор	4	групповая привязка осетинских клипов — сверить на слух	sound/0015.mp3	один прибор.	иу прибор.
54. Ч.9. Прибор	5	групповая привязка осетинских клипов — сверить на слух	sound/0016.mp3	стакан.	агуывзӕ.
54. Ч.9. Прибор	6	групповая привязка осетинских клипов — сверить на слух	sound/0020.mp3	вилку.	вилкӕ.
54. Ч.9. Прибор	7	групповая привязка осетинских клипов — сверить на слух	sound/0028.mp3	нож.	кард.
54. Ч.9. Прибор	8	групповая привязка осетинских клипов — сверить на слух	sound/0029.mp3	два ножа.	дыууӕ карды.
54. Ч.9. Прибор	9	групповая привязка осетинских клипов — сверить на слух	sound/0032.mp3	рюмку.	рюмкӕ.
54. Ч.9. Прибор	10	групповая привязка осетинских клипов — сверить на слух	sound/0036.mp3	тарелку.	тӕбӕгъ.
55. Промышленные предприятия	2	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	Много заводов, фабрик есть в вашем районе?	Бирӕ заводтӕ, фабрикӕтӕ ис уӕ районы?
55. Промышленные предприятия	3	групповая привязка осетинских клипов — сверить на слух	sound/0006.mp3	Какие заводы, фабрики есть в вашей республике?	Цавӕр заводтӕ, фабрикӕтӕ ис уӕ рес публикӕйы?
55. Промышленные предприятия	4	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	Какую продукцию выпускает ваш завод?	Цавӕр продукци уадзы уӕ завод?
55. Промышленные предприятия	5	варианты в исходном PDF — сверить по Whisper/на слух	sound/0008.mp3	Сколько рабочих у вас на заводе?	Цал кусӕджы ис уӕ заводы?
55. Промышленные предприятия	6	варианты в исходном PDF — сверить по Whisper/на слух	sound/0009.mp3	Я работаю	Ӕз кусын
55. Промышленные предприятия	10	групповая привязка осетинских клипов — сверить на слух	sound/0014.mp3	Кто директор завода?	Заводы директор чи у?
55. Промышленные предприятия	17	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0022.mp3	Я приехал	Ӕз ссыдтӕн
55. Промышленные предприятия	18	групповая привязка осетинских клипов — сверить на слух	sound/0023.mp3	изучать ваш опыт.	сымах фӕлдтӕрдзинад сахуыр кӕнынмӕ.
55. Промышленные предприятия	19	групповая привязка осетинских клипов — сверить на слух	sound/0024.mp3	Мы рады в свою очередь поделиться с вами опытом.	Махӕн дӕр ӕхсызгон у нӕ фӕлтӕрдзинадӕй сымахӕн бахай кӕнын.
55. Промышленные предприятия	20	групповая привязка осетинских клипов — сверить на слух	sound/0025.mp3	Познакомьте меня, пожалуйста,	Базонгӕ-ма мӕ кӕн, дӕ хорзӕхӕй,
55. Промышленные предприятия	21	групповая привязка осетинских клипов — сверить на слух	sound/0026.mp3	с работой вашего завода.	уӕ заводы куыстимӕ.
55. Промышленные предприятия	22	групповая привязка осетинских клипов — сверить на слух	sound/0032.mp3	Познакомь меня с работой — механического цеха.	Базонгӕ-ма мӕ кӕн механикон цехы куыстимӕ.
56. Строительство	1	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	Как у вас с жилищным строительством в селе?	Цӕрӕн хӕдзӕрттӕ аразыны хъуыддӕгтӕ уӕм куыд сты уӕ хъӕуы?
56. Строительство	3	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Есть ли у вас в р-не строительный камень?	Уӕ районы арӕзтатдон дур ис?
56. Строительство	4	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	Когда закончите строительство этого завода?	Кӕд фӕуыдызстут арӕзт ацы завод?
56. Строительство	6	групповая привязка осетинских клипов — сверить на слух	sound/0006.mp3	Дом строится быстро.	Тагъд арӕзт цӕуы хӕдзар.
56. Строительство	7	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	Дом строится медленно.	Сындӕг арӕзт цӕуы хӕдзар.
56. Строительство	8	групповая привязка осетинских клипов — сверить на слух	sound/0008.mp3	Мне нужно…	Мӕн хъӕуы…
56. Строительство	9	групповая привязка осетинских клипов — сверить на слух	sound/0013.mp3	лесоматериал.	хъӕдӕрмӕг.
56. Строительство	10	групповая привязка осетинских клипов — сверить на слух	sound/0016.mp3	черепица.	ӕмбӕрзӕн дур.
57. Ч.1. Сельское хозяйство	1	групповая привязка осетинских клипов — сверить на слух	sound/0006.mp3	Наше хозяйство сейчас…	Мах хӕдзарад ныртӕккӕ…
57. Ч.1. Сельское хозяйство	2	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	Ваше хозяйство сейчас…	Сымах хӕдзарад ныртӕккӕ…
57. Ч.1. Сельское хозяйство	3	групповая привязка осетинских клипов — сверить на слух	sound/0008.mp3	Их хозяйство сейчас…	Уыдоны хӕдзарад ныртӕккӕ…
57. Ч.1. Сельское хозяйство	4	групповая привязка осетинских клипов — сверить на слух	sound/0009.mp3	пашет.	хуым кӕны.
57. Ч.1. Сельское хозяйство	5	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0010.mp3	сеет пшеницу.	тауы мӕнӕу.
57. Ч.1. Сельское хозяйство	6	групповая привязка осетинских клипов — сверить на слух	sound/0015.mp3	ухаживает за фруктовым садом.	зилы дыргъдонмӕ.
57. Ч.1. Сельское хозяйство	7	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0017.mp3	собирает фрукты.	ӕфснайы дыргътӕ.
57. Ч.1. Сельское хозяйство	9	групповая привязка осетинских клипов — сверить на слух	sound/0019.mp3	У нас в хозяйстве работает сто двадцать человек.	Мах хӕдзарады кусы сӕдӕ дыууын адӕймаджы.
57. Ч.2. Инвентарь	1	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	…готов к весенней работе?	…цӕттӕ сты уалдзыгон куыстытӕм?
57. Ч.2. Инвентарь	2	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	…готов к осенней работе?	…цӕттӕ сты фӕззыгон куыстытӕм?
57. Ч.2. Инвентарь	4	групповая привязка осетинских клипов — сверить на слух	sound/0008.mp3	корзина.	Тӕскъ мӕ хъӕуы.
57. Ч.3. Поле, степь, луг	2	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Сколько гектаров у вас пахотной земли?	Хуымзӕхх уӕм цал гектары ис?
57. Ч.3. Поле, степь, луг	3	варианты в исходном PDF — сверить по Whisper/на слух	sound/0004.mp3	Сколько вы вспахали под кукурузу?	Нартхорӕн зӕхх цас бахуым кодтат?
57. Ч.3. Поле, степь, луг	4	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	Как я люблю бескрайние степи русские!	Куыд бирӕ уарзын ӕз ӕнӕк ӕрон уырыссаг быдыртӕ!
57. Ч.3. Поле, степь, луг	6	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	Какие у вас красивые луга!	Цы рӕсугъд сты уӕ уыгӕрдӕнтӕ!
57. Ч.3. Поле, степь, луг	7	групповая привязка осетинских клипов — сверить на слух	sound/0008.mp3	Я хочу нарвать букет полевых цветов.	Мӕн фӕнды быдырон дидинджыты букет ӕртонын.
57. Ч.4. Правление	2	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Кот здесь председатель колхоза?	Чи у къолхозы сӕрдар?
57. Ч.4. Правление	3	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Мне нужен директор совхоза.	Мӕн хъӕуы совхозы директор.
57. Ч.4. Правление	4	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	Куда ушел главный бухгалтер?	Кӕдӕм ацыди хистӕр бухгалтер?
57. Ч.5. Семена	2	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	Как вы заготавливаете семенной фонд?	Куыд фӕцӕттӕ кӕнут мыггӕгты фонд?
57. Ч.5. Семена	3	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	Эти семена дают хорошие всходы.	Ацы мыггӕгтӕ хорз сӕвзӕрынц.
57. Ч.5. Семена	4	групповая привязка осетинских клипов — сверить на слух	sound/0006.mp3	Чем вы протравливаете семена перед посевом?	Тауыны размӕ мыггӕгтӕ цавӕр хосӕй бапырх кӕнут?
57. Ч.5. Семена	5	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	Это хорошие семена.	Адон хорз мыггӕгтӕ сты.
57. Ч.5. Семена	6	групповая привязка осетинских клипов — сверить на слух	sound/0008.mp3	Это плохие семена.	Адон ӕвзӕр мыггӕгтӕ сты.
57. Ч.6. Удобрения	1	групповая привязка осетинских клипов — сверить на слух	sound/0010.mp3	Чем вы удобряете поля?	Цавӕр хъацӕнтӕй фӕзилут уӕ быдыртӕм?
57. Ч.6. Удобрения	2	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0011.mp3	Мы свои поля удобряем навозом, минеральными удобрениями.	Мах нӕ быдырты ныппырх кӕнӕм фаджыс, минералон хъацӕнтӕ.
57. Ч.6. Удобрения	3	групповая привязка осетинских клипов — сверить на слух	sound/0012.mp3	Какие химические удобрения вы применяете?	Цавӕр химикон хъацӕнтӕй пайда кӕнут?
57. Ч.7. Урожай	1	групповая привязка осетинских клипов — сверить на слух	sound/0015.mp3	Каков у вас в этом году урожай	Куыд уӕм ӕрзади ацы аз…
57. Ч.7. Урожай	2	групповая привязка осетинских клипов — сверить на слух	sound/0021.mp3	У нас в этом году лучше урожай, чем в прошлом году.	Фаронӕй нӕм ацы аз хуыздӕр ӕрзад тыллӕг.
57. Ч.7. Урожай	3	групповая привязка осетинских клипов — сверить на слух	sound/0022.mp3	У нас в этом году хуже урожай, чем в прошлом году.	Фаронӕй нӕм ацы аз ӕвзӕрдӕр ӕрзад тыллӕг.
57. Ч.8. Ферма (неполная)	1	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0011.mp3	Мы свои поля удобряем навозом, минеральными удобрениями.	Мах нӕ быдырты ныппырх кӕнӕм фаджыс, минералон хъацӕнтӕ.
57. Ч.8. Ферма (неполная)	2	групповая привязка осетинских клипов — сверить на слух	sound/0036.mp3	триста дойных коров.	ӕртӕс ӕдӕ дуцгӕ хъуджы.
57. Ч.8. Ферма (неполная)	3	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0041.mp3	Сколько ты в среднем надаиваешь в сутки от каждой коровы?	Цас ӕрдуцыс суткӕ алы хъугӕй дӕр рӕстӕмбис нымадӕй?
57. Ч.8. Ферма (неполная)	4	групповая привязка осетинских клипов — сверить на слух	sound/0042.mp3	У нас от каждой коровы в среднем надаивают шестнадцать литров.	Махмӕ алы хъугӕй дӕр рӕстӕмбис нымадӕй дуц ынц ӕхсӕр дӕс литры.
57. Ч.8. Ферма (неполная)	5	групповая привязка осетинских клипов — сверить на слух	sound/0043.mp3	Где содержаться…	Кӕм дарут
57. Ч.8. Ферма (неполная)	6	групповая привязка осетинских клипов — сверить на слух	sound/0045.mp3	ваши телята?	уӕ родты?
57. Ч.8. Ферма (неполная)	7	групповая привязка осетинских клипов — сверить на слух	sound/0046.mp3	ваши ягнята?	уӕ уӕрыччыты?
58. Сад, огород	2	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	В нашем саду растут яблони, груши, сливы, вишни.	Мах дыргъдоны зайы фӕткъуытӕ, кӕрдотӕ, чылауитӕ, балтӕ.
58. Сад, огород	3	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	Как красиво зацвели в саду яблони!	Цы рӕсугъд дидинӕг акалдтой дыргъдоны фӕткъуы бӕлӕстӕ!
58. Сад, огород	6	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	Какие овощи вы думаете посадить в этом году?	Цавӕр халсартӕ садзынвӕнд кӕнут ацы аз?
58. Сад, огород	7	групповая привязка осетинских клипов — сверить на слух	sound/0008.mp3	Мы посадим лук, чеснок, морковь, помидоры.	Мах ныссадздзыстӕм хъӕдындзтӕ, нур ытӕ, уырыдзытӕ, цӕхӕратӕ, пъамидортӕ.
59. Игрушки	2	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	заводные игрушки.	ифтындзгӕ хъазӕнтӕ.
59. Игрушки	3	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	музыкальные игрушки.	музыкалон хъазӕнтӕ.
59. Игрушки	5	групповая привязка осетинских клипов — сверить на слух	sound/0008.mp3	Вот игрушки…	Мӕнӕ хъазӕнтӕ…
59. Игрушки	6	групповая привязка осетинских клипов — сверить на слух	sound/0011.mp3	для трех лет.	ӕртӕа здзыд сывӕллонӕн.
59. Игрушки	7	групповая привязка осетинских клипов — сверить на слух	sound/0012.mp3	для самых маленьких.	бынтон гыццылтӕн.
59. Игрушки	9	варианты в исходном PDF — сверить по Whisper/на слух	sound/0014.mp3	Я беру эту игрушку	Исын ӕз ацы хъазӕн.
60. Ч.1. Аудио, видокассеты, CD	1	групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	У вас есть компакт-диски?	Компакт-дисктӕ уӕм ис?
60. Ч.1. Аудио, видокассеты, CD	2	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Какие у вас компакт-диски с осетинской музыкой?	Ирон музыкӕйы компакт-дисктӕ уӕм цавӕртӕ ис?
60. Ч.1. Аудио, видокассеты, CD	3	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Подбери мне, пожалуйста, несколько компакт-дисков с осетинской музыкой.	Равзар-ма мын, дӕ хорзӕхӕй, иу къорд компакт-дискы ирон музыкӕимӕ.
60. Ч.1. Аудио, видокассеты, CD	4	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	Я больше люблю…	Ӕз фылдӕр уарызын…
60. Ч.1. Аудио, видокассеты, CD	5	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	песни,	зарджытӕ,
60. Ч.1. Аудио, видокассеты, CD	6	групповая привязка осетинских клипов — сверить на слух	sound/0006.mp3	танцевальную музыку.	кафыны музыкӕ.
60. Ч.1. Аудио, видокассеты, CD	7	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	симфоническую музыку.	симфонион музыкӕ.
60. Ч.1. Аудио, видокассеты, CD	8	групповая привязка осетинских клипов — сверить на слух	sound/0010.mp3	Какие у вас есть фильмы об истории Осетии, о природе Осетии?	Цавӕр фильмтӕ уӕм ис Ирыстоны историйы тыххӕй, Ирыстоны ӕрдзы тыххӕй?
60. Ч.1. Аудио, видокассеты, CD	9	групповая привязка осетинских клипов — сверить на слух	sound/0011.mp3	Не хочешь ли прослушать этот компакт-диск?	Ацы компакт-дискмӕ байхъусын дӕ нӕ фӕнды?
60. Ч.1. Аудио, видокассеты, CD	10	групповая привязка осетинских клипов — сверить на слух	sound/0012.mp3	Не хочешь ли посмортеть этот компакт-диск?	Ацы компакт-дискмӕ бакӕсын дӕ нӕ фӕнды?
60. Ч.2. Канцелярские товары	2	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	авторучка?	авторучкӕ?
60. Ч.2. Канцелярские товары	3	групповая привязка осетинских клипов — сверить на слух	sound/0006.mp3	карандаши?	кърандӕстӕ?
60. Ч.2. Канцелярские товары	4	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	папка?	папкӕ?
60. Ч.3. Музыкальные инструменты	1	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	У вас есть балалайка?	Балалайкӕ уӕм ис?
60. Ч.4. Мебель	1	групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	У вас есть…	Ис уӕм…
60. Ч.4. Мебель	2	групповая привязка осетинских клипов — сверить на слух	sound/0012.mp3	Диван стоит семь тысяч рублей.	Диван у авд мин сомы аргъ.
60. Ч.4. Мебель	3	групповая привязка осетинских клипов — сверить на слух	sound/0013.mp3	Кресло стоит пять тысяч рублей.	Кресло у фондз мин сомы аргъ.
61. Ч.1. Булочные изделия	1	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Дай мне, пожалуйста,…	Авӕр-ма мын, дӕ хорзӕхӕй,…
61. Ч.1. Булочные изделия	2	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	печенье,	печен итӕ,
61. Ч.1. Булочные изделия	3	групповая привязка осетинских клипов — сверить на слух	sound/0006.mp3	белый хлеб,	ур с дзул.
61. Ч.1. Булочные изделия	4	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	черный хлеб.	сау дзул.
61. Ч.1. Булочные изделия	6	групповая привязка осетинских клипов — сверить на слух	sound/0009.mp3	Мне надо…	Мӕн хъӕуы…
61. Ч.1. Булочные изделия	8	групповая привязка осетинских клипов — сверить на слух	sound/0012.mp3	полтора килограмма черного хлеба.	килограмм ӕмӕ ʼрдӕг сау дзул.
61. Ч.1. Булочные изделия	9	групповая привязка осетинских клипов — сверить на слух	sound/0013.mp3	буханку черного хлеба.	иу буханкӕ сау дзул.
61. Ч.1. Булочные изделия	10	групповая привязка осетинских клипов — сверить на слух	sound/0015.mp3	пачку печенья.	иу пачкӕ печен итӕ.
61. Ч.1. Булочные изделия	11	варианты в исходном PDF — сверить по Whisper/на слух	sound/0017.mp3	Завернуть их?	Батухон ҁӕ?
61. Ч.1. Булочные изделия	13	групповая привязка осетинских клипов — сверить на слух	sound/0019.mp3	Нет, спасибо, я их положу в сумку.	Нӕ хъӕуы, буз ныг, сум кӕйы ҁӕ нывӕр дзынӕн.
61. Ч.10. Фрукты	1	групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	Дай мне, пожалуйста, полкило…	Авӕр-ма мын, дӕ хорзӕхӕй, килойы ʼрдӕг…
61. Ч.10. Фрукты	2	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Дай мне, пожалуйста, полтора килограмма...	Авӕр-ма мын, дӕ хорзӕхӕй, кило ʼмӕ ӕрдӕг…
61. Ч.10. Фрукты	3	групповая привязка осетинских клипов — сверить на слух	sound/0007.mp3	груш.	кӕрдотӕ.
61. Ч.10. Фрукты	5	групповая привязка осетинских клипов — сверить на слух	sound/0012.mp3	Я люблю арбуз.	Ӕз уарзын харбыз.
61. Ч.2. Варенье, повидло, сахар	2	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	клубничное варенье?	Ӕрыскъӕфы вареннӕ уӕм ис?
61. Ч.2. Варенье, повидло, сахар	3	групповая привязка осетинских клипов — сверить на слух	sound/0011.mp3	Дай мне один килограмм кускового сахара.	Авӕр-ма мын иу килограмм къӕрт сӕкӕр.
61. Ч.2. Варенье, повидло, сахар	4	групповая привязка осетинских клипов — сверить на слух	sound/0012.mp3	Дай мне пять килограмм кускового сахара.	Авӕр-ма мын фондз килограммы къӕрт сӕкӕр.
61. Ч.3. Вино, напитки	2	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	Дай мне три бутылки шампанского.	Шампанскийы ӕртӕ авджы-ма мын авӕр.
61. Ч.3. Вино, напитки	5	групповая привязка осетинских клипов — сверить на слух	sound/0011.mp3	выпить минеральной воды.	минералон дон бануазын.
61. Ч.3. Вино, напитки	6	групповая привязка осетинских клипов — сверить на слух	sound/0012.mp3	Пойдем, я тебя угощу свежим осетинским пивом.	Цом, ӕз дӕ ногконд ирон бӕгӕныйӕ хорз фенон.
61. Ч.4. Мясо, колбасы	2	варианты в исходном PDF — сверить по Whisper/на слух; групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	Взвесь мне два килограмма говядины.	Дыууӕ килограммы-ма мын стуры фыд абар.
61. Ч.4. Мясо, колбасы	3	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Я шашлык больше люблю из баранины.	Ӕз фысы фыдӕй конд физонӕг фылдӕр уарзын.
61. Ч.4. Мясо, колбасы	4	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	У вас есть колбаса?	Къалбас уӕм ис?
61. Ч.4. Мясо, колбасы	5	групповая привязка осетинских клипов — сверить на слух	sound/0006.mp3	Я бы хотел полкилограмма не очень жирной колбасы.	Мӕн хъӕуы, тынг нард чи нӕ уа, ахӕм къалбас килограммы ӕрдӕг.
61. Ч.4. Мясо, колбасы	6	групповая привязка осетинских клипов — сверить на слух	sound/0009.mp3	один килограмм сосисок.	Сосискӕты килограмм-ма мын авӕр.
61. Ч.5. Консервы	2	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	У нас есть…	Махмӕ ис..
61. Ч.5. Консервы	3	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	мясные консервы.	дзидзайы консервтӕ.
61. Ч.5. Консервы	4	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	рыбные консервы.	кӕсаджы консервтӕ.
61. Ч.6. Конфеты	2	групповая привязка осетинских клипов — сверить на слух	sound/0002.mp3	У нас есть и шоколадные, и простые конфеты.	Махмӕ ис шоколад къафеттӕ дӕр, хуымӕтӕг къафеттӕ дӕр.
61. Ч.6. Конфеты	3	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Дай мне...	Авӕр-ма мын...
61. Ч.6. Конфеты	4	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	коробку	иу къаробкӕ...
61. Ч.6. Конфеты	5	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	двести граммов,	дыууӕс ӕдӕ граммы,
61. Ч.7. Крупа	2	групповая привязка осетинских клипов — сверить на слух	sound/0004.mp3	килограмм пшена.	килограмм еу уы кърупа.
61. Ч.8. Масло	2	групповая привязка осетинских клипов — сверить на слух	sound/0003.mp3	Дай мне пятьсот граммов…	Авӕр-ма мын фондзсӕдӕ граммы…
61. Ч.8. Масло	3	групповая привязка осетинских клипов — сверить на слух	sound/0005.mp3	шоколадного масла.	шоколад хӕццӕ нӕлхӕ.
61. Ч.9. Молоко, сметана, сыр	1	групповая привязка осетинских клипов — сверить на слух	sound/0001.mp3	61. Ч.9. Молоко,	сметана, сыр
