clip,lang,prob,text
dataset/54. Ч.9. Прибор/sound/0002.mp3,kk,0.266,"Аварма мен, аварма мені дахорзіқей нұйдер, Юприбор."
dataset/54. Ч.9. Прибор/sound/0013.mp3,tr,0.440,Afermağımın
dataset/54. Ч.9. Прибор/sound/0014.mp3,kk,0.184,Авар маеным діғор жігі...
dataset/54. Ч.9. Прибор/sound/0015.mp3,bg,0.677,Нодидър Ю Прибор.
dataset/54. Ч.9. Прибор/sound/0016.mp3,ro,0.223,A gauge două artă separ a găgei.
dataset/54. Ч.9. Прибор/sound/0020.mp3,uk,0.410,"Вілка, до уа, арта, сапар вілка. Лошку, 2, 3, 4 ложки. Уйдя, до уа, арта, сапар вийде, джи."
dataset/54. Ч.9. Прибор/sound/0028.mp3,fr,0.184,D'où a ?
dataset/54. Ч.9. Прибор/sound/0029.mp3,tr,0.504,Arta Sıbbar Kardı
dataset/54. Ч.9. Прибор/sound/0032.mp3,uk,0.355,"Две, три, чотирі рюмки. Рюмка, два, арта, сапар-рюмкай."
dataset/54. Ч.9. Прибор/sound/0036.mp3,ru,0.359,"Табах двуа, арта, с парта бога."
dataset/54. Ч.9. Прибор/sound/0040.mp3,ru,0.388,Стопер
dataset/55. Промышленные предприятия/sound/0001.mp3,pt,0.621,Fobre.
dataset/55. Промышленные предприятия/sound/0004.mp3,pt,0.750,Fobre.
dataset/55. Промышленные предприятия/sound/0006.mp3,lt,0.630,"Bira žavod fabrikata salžavodu fabrikai, savar žavodu fabrikata iš waraijone, kaue gorat respublikai."
dataset/55. Промышленные предприятия/sound/0007.mp3,sk,0.540,Sávar produkciú a zvážávod u a fábrik.
dataset/55. Промышленные предприятия/sound/0008.mp3,ro,0.454,"Să alcushă dici o javode, o fabricăi."
dataset/55. Промышленные предприятия/sound/0009.mp3,de,0.634,"Mach Kuschen, Elektrazinchen."
dataset/55. Промышленные предприятия/sound/0011.mp3,de,0.302,und die Vagatterie-Mundgenen ja wurde.
dataset/55. Промышленные предприятия/sound/0012.mp3,bg,0.323,газаре сауматъгане фабрики.
dataset/55. Промышленные предприятия/sound/0013.mp3,pl,0.941,Masz i neta ganan żawody.
dataset/55. Промышленные предприятия/sound/0014.mp3,ro,0.614,"Fabric. Jeavod Fabricai Director, CEO."
dataset/55. Промышленные предприятия/sound/0016.mp3,he,0.388,מה נאמא ענחה שקן נכון
dataset/55. Промышленные предприятия/sound/0017.mp3,ar,0.355,مجرد مفاصد وجاوض
dataset/55. Промышленные предприятия/sound/0018.mp3,tr,0.782,Madfand'ı kuştun Allah'ın...
dataset/55. Промышленные предприятия/sound/0019.mp3,ro,0.358,Răștâmpișnâma de ai.
dataset/55. Промышленные предприятия/sound/0020.mp3,hi,0.289,Dhamijta Saashu
dataset/55. Промышленные предприятия/sound/0021.mp3,he,0.545,פרמיתה הרחפי שום
dataset/55. Промышленные предприятия/sound/0022.mp3,af,0.539,Als shitten mag shitten
dataset/55. Промышленные предприятия/sound/0023.mp3,ar,0.372,شما أخفو ترض زي ناد شخر كنما
dataset/55. Промышленные предприятия/sound/0024.mp3,he,0.538,מהכן עכשיו גון הוא נפלפרצינת שמהכן בחייקן
dataset/55. Промышленные предприятия/sound/0025.mp3,ru,0.269,Вашей фабрик. Наш завод имеет три цеха. Как он всех работает? Нас...
dataset/55. Промышленные предприятия/sound/0026.mp3,uk,0.488,"Зборачнава циха. Бажунгамама, Кан. Бажунгамама, Кан. Механікун. Амбардганан циха кущетіма."
dataset/55. Промышленные предприятия/sound/0032.mp3,uk,0.488,"Зборачнава циха. Бажунгамама, Кан. Бажунгамама, Кан. Механікун. Амбардганан циха кущетіма."
dataset/56. Строительство/sound/0001.mp3,mn,0.180,сердχזהرض та оруж' hurryene Connie-TA equipment Wakaue Ryan Goraub Re-s pub
dataset/56. Строительство/sound/0002.mp3,tr,0.317,Arıştadığı nok metadayı payda kanut
dataset/56. Строительство/sound/0003.mp3,ro,0.563,"Vă rayonă respublicei, arăștadon dur, arăștadon caduf-is."
dataset/56. Строительство/sound/0004.mp3,he,0.413,כתפה ושתות ערשתת עש גבוד חזר
dataset/56. Строительство/sound/0005.mp3,tr,0.287,"Arıştığa da proyekti, mamama, bazı ongakın."
dataset/56. Строительство/sound/0006.mp3,de,0.278,Pard Schindöck
dataset/56. Строительство/sound/0007.mp3,tr,0.809,Arışcavı Hazar
dataset/56. Строительство/sound/0008.mp3,hi,0.277,Kirti
dataset/56. Строительство/sound/0013.mp3,de,0.370,bis so zu den Männern.
dataset/56. Строительство/sound/0016.mp3,lt,0.244,"Man kaue fajnežite, ambaržen, Žieš Čiar, agrīdur, kad armag, žmiš, cėmient ambaržen dur."
dataset/57. Ч.1. Сельское хозяйство/sound/0006.mp3,ka,0.244,"Makh, šimakh, udonit, Khazarat nartakka, hommkana. Seps šinnicu, kokuruzu."
dataset/57. Ч.1. Сельское хозяйство/sound/0007.mp3,uk,0.628,"Та ви мене у Нартхор, шази картов. Політку курузу свіклу."
dataset/57. Ч.1. Сельское хозяйство/sound/0008.mp3,kk,0.411,"Руві на артхор сахара, губа кані картов. Косид сена."
dataset/57. Ч.1. Сельское хозяйство/sound/0009.mp3,uk,0.307,"Карди хош, живе драгдонма."
dataset/57. Ч.1. Сельское хозяйство/sound/0010.mp3,yi,0.204,אף שניים מנהוכו שנרד חור קרטוב.
dataset/57. Ч.1. Сельское хозяйство/sound/0015.mp3,bg,0.844,"О, въси! Вшна е дърхта халчарта."
dataset/57. Ч.1. Сельское хозяйство/sound/0017.mp3,bg,0.844,"О, въси! Вшна е дърхта халчарта."
dataset/57. Ч.1. Сельское хозяйство/sound/0018.mp3,fa,0.490,ساو آدیم آجکوش شمخ خزاراده
dataset/57. Ч.1. Сельское хозяйство/sound/0019.mp3,kk,0.260,"Мақазарады кушы, шада, дуғын, артым адеймаджі."
dataset/57. Ч.2. Инвентарь/sound/0003.mp3,ps,0.175,وقوان خزرادون کشنگرش تستست
dataset/57. Ч.2. Инвентарь/sound/0004.mp3,ru,0.206,"Валзегон, кущетом, файжегон, кущетом."
dataset/57. Ч.2. Инвентарь/sound/0007.mp3,kk,0.240,шагой макалу кымшардыва
dataset/57. Ч.2. Инвентарь/sound/0008.mp3,cs,0.528,Tož k makaů. Kasa. Savak makaů.
dataset/57. Ч.2. Инвентарь/sound/0010.mp3,en,0.388,blue
dataset/57. Ч.2. Инвентарь/sound/0012.mp3,tr,0.333,Alışır.
dataset/57. Ч.2. Инвентарь/sound/0013.mp3,de,0.859,Ruhren.
"dataset/57. Ч.3. Поле, степь, луг/sound/0002.mp3",en,0.207,Kamm E. Wadron. Stan.
"dataset/57. Ч.3. Поле, степь, луг/sound/0003.mp3",fa,0.284,خمجر خوام سالگیگتر ایش
"dataset/57. Ч.3. Поле, степь, луг/sound/0004.mp3",hy,0.171,"نرد خورن, مناون, כارتوفن, жخ, сاش باخم קודتت."
"dataset/57. Ч.3. Поле, степь, луг/sound/0005.mp3",lt,0.309,kod bira varsin iš anakaroni vrššeg bedrte.
"dataset/57. Ч.3. Поле, степь, луг/sound/0006.mp3",ka,0.786,"Som, war, tausets, ach, naul, abadam"
"dataset/57. Ч.3. Поле, степь, луг/sound/0007.mp3",bg,0.434,Сръщу дъщи ва-въгарданта.
"dataset/57. Ч.3. Поле, степь, луг/sound/0008.mp3",lt,0.185,"Manfandy, bedaron didinčitabukiet artonen."
dataset/57. Ч.4. Правление/sound/0001.mp3,ru,0.384,Он хожу правленник асраниш.
dataset/57. Ч.4. Правление/sound/0002.mp3,tr,0.215,"Çiğu, Mankavv, Kadam Asıl'yı"
dataset/57. Ч.4. Правление/sound/0003.mp3,ru,0.563,"Калхожий шардар, совхозы директор."
dataset/57. Ч.4. Правление/sound/0004.mp3,ru,0.199,"Хистер Бугалдер, Хахт-Хахт-шаг, секретар."
dataset/57. Ч.4. Правление/sound/0005.mp3,ru,0.316,"Вокал хоже, правление сал, вон же ищ."
dataset/57. Ч.4. Правление/sound/0006.mp3,ru,0.369,"Уо, правление амбертка дузан."
dataset/57. Ч.4. Правление/sound/0007.mp3,sq,0.293,"Savr, Farstadam, Kašseštut."
dataset/57. Ч.5. Семена/sound/0003.mp3,he,0.991,שמעכמה בנתון מקקטאיש
dataset/57. Ч.5. Семена/sound/0004.mp3,la,0.371,"Sì mi nŐi fŐn, kŐd fŐs'at dŐa nŐt mŐcgek tŐ fŐnŐ."
dataset/57. Ч.5. Семена/sound/0005.mp3,bg,0.243,Асъм кък тър хорж шефжерънс. Чем вы?
dataset/57. Ч.5. Семена/sound/0006.mp3,hy,0.290,καنு رازم ۊ ۀ ۀۀ ۀ ۊ ۀۀ ۀ ۀۀ ۀ ې ۉ ۀ ۀ ۀ ۀ ۊ ۜ ۀ ۉ ۉ ۀ ۀ ۀ ۉ 实ۢ ۀ ۀ ۇ ۉ ۀ ۀ ۀ ۀ ۀ ۜ ۀ ۀ ۀ ۀ ۉ ۀ ۀ ۀ ۀ ۀ ۀ ۀ ۀ ۀ ۀ ۀ ۬ ۀ 
dataset/57. Ч.5. Семена/sound/0007.mp3,ar,0.355,عدون خور
dataset/57. Ч.5. Семена/sound/0008.mp3,ar,0.486,أفجر مكاك تشد
dataset/57. Ч.6. Удобрения/sound/0010.mp3,lt,0.327,"Savr, kas entei, faciūt, uobydirtam."
dataset/57. Ч.6. Удобрения/sound/0011.mp3,kk,0.646,"Мах, на будрті, на сахарадыті, на пърқанам, файдші, меніра лон, касынті."
dataset/57. Ч.6. Удобрения/sound/0012.mp3,ka,0.765,"Sa'vrkimikon, mineralon, kasantai, pajda kanun."
dataset/57. Ч.7. Урожай/sound/0015.mp3,ru,0.212,"Кукурузы, картофеля, вруктов, овощи. Кудуам ржадии оса ж манау, на ртхор, картоф, дырг-халшар."
dataset/57. Ч.7. Урожай/sound/0021.mp3,tr,0.415,Faronaynım Asıcaz
dataset/57. Ч.7. Урожай/sound/0022.mp3,az,0.355,Əşdər əvzərdər rəzət tələq.
dataset/57. Ч.8. Ферма (неполная)/sound/0011.mp3,de,0.409,Ich will nicht. Man macht von der Waffirma finden.
dataset/57. Ч.8. Ферма (неполная)/sound/0036.mp3,lt,0.693,"Saš ardu sut, saš ardu seššutka ala ugaider. Raštam biš nemadai."
dataset/57. Ч.8. Ферма (неполная)/sound/0041.mp3,lt,0.693,"Saš ardu sut, saš ardu seššutka ala ugaider. Raštam biš nemadai."
dataset/57. Ч.8. Ферма (неполная)/sound/0042.mp3,kk,0.765,"Мақма алы кугейдер ръщым бишнымадей, Дусынс ахшардаш литрі."
dataset/57. Ч.8. Ферма (неполная)/sound/0043.mp3,ar,0.351,كمدار وقبل ته
dataset/57. Ч.8. Ферма (неполная)/sound/0045.mp3,ru,0.532,Ворачите!
dataset/57. Ч.8. Ферма (неполная)/sound/0046.mp3,lt,0.332,"Kazliata, šanit jį. Cipliata, į įūtų."
"dataset/58. Сад, огород/sound/0002.mp3",lt,0.405,Savar bala štajai uodrždonu.
"dataset/58. Сад, огород/sound/0003.mp3",af,0.275,"Maag d'r d'ongeijen, fatkotten, kardotten, chlauute, balten."
"dataset/58. Сад, огород/sound/0004.mp3",lt,0.902,"Srašių dėdinag akaltuai, daradonai fatkoj balaštia."
"dataset/58. Сад, огород/sound/0005.mp3",ar,0.698,درغضون مجيلاً كا
"dataset/58. Сад, огород/sound/0006.mp3",ar,0.854,وسخراتون اشكحتت
"dataset/58. Сад, огород/sound/0007.mp3",bg,0.285,"Савър хал шарта шазен, вънт канут асъ аж."
"dataset/58. Сад, огород/sound/0008.mp3",lt,0.420,"Markov, sveklų, pamidorai. Makh, nesšat, sыštam, adinste, nūrte, vūrzyte, sakharatę, amidorte."
dataset/59. Игрушки/sound/0001.mp3,ar,0.832,ساور قاجنت دقوه
dataset/59. Игрушки/sound/0004.mp3,kk,0.349,құрмамын дұұр жәқей?
dataset/59. Игрушки/sound/0005.mp3,kk,0.165,"Ифтензге, музикалон, режині, каженті."
dataset/59. Игрушки/sound/0007.mp3,lv,0.233,Savrkāģentau amīši.
dataset/59. Игрушки/sound/0008.mp3,fr,0.664,Deux.
dataset/59. Игрушки/sound/0011.mp3,ar,0.869,من قعجنته عفزد 2 عجزد
dataset/59. Игрушки/sound/0012.mp3,lt,0.630,Artažiusid šių vallon bintuon giziltan.
dataset/59. Игрушки/sound/0013.mp3,lt,0.239,Saš arhu asakajen.
dataset/59. Игрушки/sound/0014.mp3,tr,0.392,"işin ışı askı kajin, askı kajintı."
"dataset/60. Ч.1. Аудио, видокассеты, CD/sound/0001.mp3",la,0.352,"Campag disc te, ca se te taum iš"
"dataset/60. Ч.1. Аудио, видокассеты, CD/sound/0002.mp3",lt,0.251,"Ir on muzikai kompak diskta, kasietatą, oms savertaiš."
"dataset/60. Ч.1. Аудио, видокассеты, CD/sound/0003.mp3",kk,0.460,"Қарғамамын дахор жақай, үйуң үрд кампак дискты, касетаты, үрон музика имы."
"dataset/60. Ч.1. Аудио, видокассеты, CD/sound/0004.mp3",tr,0.761,Öş folder warzın gercidü.
"dataset/60. Ч.1. Аудио, видокассеты, CD/sound/0005.mp3",en,0.680,Cuffin the...
"dataset/60. Ч.1. Аудио, видокассеты, CD/sound/0006.mp3",en,0.256,Symphonion
"dataset/60. Ч.1. Аудио, видокассеты, CD/sound/0007.mp3",ru,0.397,"опирон, адамон, музыка"
"dataset/60. Ч.1. Аудио, видокассеты, CD/sound/0010.mp3",kk,0.119,"Савар кінута омиш, ирыштоні історій арзі тахай."
"dataset/60. Ч.1. Аудио, видокассеты, CD/sound/0011.mp3",la,0.243,Asekampagdiskme by Ocean
"dataset/60. Ч.1. Аудио, видокассеты, CD/sound/0012.mp3",tr,0.650,Bakın da nefendi.
dataset/60. Ч.2. Канцелярские товары/sound/0002.mp3,tr,0.331,"Hors-ı Çuzg, Zerma!"
dataset/60. Ч.2. Канцелярские товары/sound/0003.mp3,la,0.184,"Sa i arru. Albón, Dla foto. Albón, Armte, Avarnan, Nifcanan."
dataset/60. Ч.2. Канцелярские товары/sound/0006.mp3,ru,0.362,Крандащта. Папка. Папка. Портфель. Артфель. Две пищи бумаги. А вторую чку. А в армамин до хожихой Ютей Трад. Ду-а-рта-са
dataset/60. Ч.2. Канцелярские товары/sound/0007.mp3,bg,0.404,"2-а, орта с пар пъчкой, на фешене гъхат."
dataset/60. Ч.3. Музыкальные инструменты/sound/0002.mp3,lt,0.436,"Baraban. Balalai ka baraban, fundr, gitar, išvom, sayarhu."
dataset/60. Ч.3. Музыкальные инструменты/sound/0003.mp3,hr,0.336,Savr i Ronna Canalon Instrumient Tomiš.
dataset/60. Ч.3. Музыкальные инструменты/sound/0010.mp3,hr,0.336,Savr i Ronna Canalon Instrumient Tomiš.
dataset/60. Ч.3. Музыкальные инструменты/sound/0011.mp3,lt,0.206,Man kaue gitarai mandalinii balalai kaių teulta.
dataset/60. Ч.4. Мебель/sound/0001.mp3,de,0.635,"Ich wohn, es gab sauma, aunzen, die waren, Eiden, Schöntag, Tümbel, Fischen, Stol, Falmen, Kallegin, Bandete, Sejahrum."
dataset/60. Ч.4. Мебель/sound/0012.mp3,de,0.944,Die waren ua...
dataset/60. Ч.4. Мебель/sound/0013.mp3,de,0.455,"von uns, von uns, mein Schoenmeach..."
dataset/60. Ч.4. Мебель/sound/0014.mp3,tr,0.270,What is our mom come our agents?
dataset/61. Ч.1. Булочные изделия/sound/0002.mp3,en,0.306,Button
dataset/61. Ч.1. Булочные изделия/sound/0005.mp3,af,0.157,"Avermaamend, dagorze geibouken."
dataset/61. Ч.1. Булочные изделия/sound/0006.mp3,it,0.273,baton pecce in ita
dataset/61. Ч.1. Булочные изделия/sound/0007.mp3,tr,0.682,"Uğur çizol, şavzul."
dataset/61. Ч.1. Булочные изделия/sound/0008.mp3,bg,0.220,Саштакал.
dataset/61. Ч.1. Булочные изделия/sound/0009.mp3,ru,0.397,Мамковую. Килограмм.
dataset/61. Ч.1. Булочные изделия/sound/0010.mp3,bg,0.261,"2 кг, ушсу."
dataset/61. Ч.1. Булочные изделия/sound/0012.mp3,tr,0.381,"Kilogram Amardık, Yubu Kanka, Shaozu."
dataset/61. Ч.1. Булочные изделия/sound/0013.mp3,pl,0.430,500 g.
dataset/61. Ч.1. Булочные изделия/sound/0015.mp3,ro,0.774,"Fonsa de gram pachă, două pachăi pe ceinite."
dataset/61. Ч.1. Булочные изделия/sound/0017.mp3,br,0.219,Batoukonsiume
dataset/61. Ч.1. Булочные изделия/sound/0018.mp3,ar,0.740,و دخور جخي
dataset/61. Ч.1. Булочные изделия/sound/0019.mp3,lt,0.546,Nakau bužinig sumkais nvarzinan.
dataset/61. Ч.10. Фрукты/sound/0001.mp3,uk,0.526,"Пол кілло, полтора кілограма, а й ви. А в армамен до хоржихий кілеер до кіла мааа."
dataset/61. Ч.10. Фрукты/sound/0002.mp3,bg,0.416,"Ардаг къмшите. Али чий? Ах, шинцата. Вина града. Шенавширта. Вишен, чирешен. Балта."
dataset/61. Ч.10. Фрукты/sound/0007.mp3,lt,0.527,Katdak kardotu. Bėžsiką. Alt amite. Sleef. Čilauite.
dataset/61. Ч.10. Фрукты/sound/0011.mp3,de,0.927,Fattgutte!
dataset/61. Ч.10. Фрукты/sound/0012.mp3,af,0.320,Ajoarzen Harbys Neeshi
"dataset/61. Ч.2. Варенье, повидло, сахар/sound/0001.mp3",uk,0.421,Али чове?
"dataset/61. Ч.2. Варенье, повидло, сахар/sound/0005.mp3",kk,0.431,"Балы, ахшанды, фаткуйі, арышкавты, варенілам, іш? Дай мі банку, две банки, варені, Джимам. Аварман и у банка, дуа банкай"
"dataset/61. Ч.2. Варенье, повидло, сахар/sound/0011.mp3",la,0.235,Avar ma m'n i'u fons kilogram m'g art-shakart.
"dataset/61. Ч.2. Варенье, повидло, сахар/sound/0012.mp3",ru,0.866,"Сахарный песок у вас есть? Лишь так шокаром, ищ."
"dataset/61. Ч.3. Вино, напитки/sound/0001.mp3",lv,0.194,Savršantau omīš.
"dataset/61. Ч.3. Вино, напитки/sound/0004.mp3",la,0.837,"Kagore, likeore, champagne, ski, avdua, arta avdjumamen, avr."
"dataset/61. Ч.3. Вино, напитки/sound/0005.mp3",pl,0.175,Bo skończą na kawał.
"dataset/61. Ч.3. Вино, напитки/sound/0006.mp3",bg,0.371,в отка на нуажен.
"dataset/61. Ч.3. Вино, напитки/sound/0011.mp3",lt,0.245,"Avžiarno vaid, Liminat, baganę sytro mineralon don banagin."
"dataset/61. Ч.3. Вино, напитки/sound/0012.mp3",pt,0.703,"Pessoal, ajudando a conta ir ao baganheia Roros Fénon."
"dataset/61. Ч.4. Мясо, колбасы/sound/0001.mp3",ar,0.557,اشتور فدوام اش
"dataset/61. Ч.4. Мясо, колбасы/sound/0002.mp3",lt,0.288,Na FETCHIN! Duo kilograma maman štūrufid abar FETCHIN AGAN!
"dataset/61. Ч.4. Мясо, колбасы/sound/0003.mp3",sq,0.311,"Øs fësë fëdej kond fëjjoneg, fëlder warzen Më ne maman ardegej du oki la gramë relkën"
"dataset/61. Ч.4. Мясо, колбасы/sound/0005.mp3",mn,0.422,Man-Ka-U-Teng-Nard Chin-A-Wu
"dataset/61. Ч.4. Мясо, колбасы/sound/0006.mp3",tr,0.262,A ham kalbaş 2 gram ırdık.
"dataset/61. Ч.4. Мясо, колбасы/sound/0009.mp3",lt,0.761,"Kalbaši, sesiskatų sardelka tu kilogramma m. avr."
dataset/61. Ч.5. Консервы/sound/0001.mp3,pl,0.437,Sauer Kansier w towam iść.
dataset/61. Ч.5. Консервы/sound/0002.mp3,he,0.965,מהכמו איש?
dataset/61. Ч.5. Консервы/sound/0003.mp3,pl,0.407,Zizai konserwty.
dataset/61. Ч.5. Консервы/sound/0004.mp3,sq,0.221,Kasha ađi kanserfte. Avađi nji kanserve. Khalšarte kanserfte. Fruktovoj kanserve. Dirkte kanserfte. Avar man iu banka. D
dataset/61. Ч.5. Консервы/sound/0005.mp3,tr,0.826,Kaşacı Kansierftı.
dataset/61. Ч.5. Консервы/sound/0011.mp3,tr,0.826,Kaşacı Kansierftı.
dataset/61. Ч.6. Конфеты/sound/0001.mp3,ar,0.799,ساورك في التومش
dataset/61. Ч.6. Конфеты/sound/0002.mp3,az,0.326,"Mahma iş şokolat qafiyettədir, kumat qafiyettədir."
dataset/61. Ч.6. Конфеты/sound/0003.mp3,tr,0.285,Afermağımın yukarobke.
dataset/61. Ч.6. Конфеты/sound/0004.mp3,ar,0.231,دواشة ده
dataset/61. Ч.6. Конфеты/sound/0005.mp3,ro,0.364,fonsa de gramă chocolate a fiectă.
dataset/61. Ч.7. Крупа/sound/0001.mp3,tr,0.255,"Savr, krupa, tovam, iş."
dataset/61. Ч.7. Крупа/sound/0004.mp3,pl,0.812,Przena!
dataset/61. Ч.8. Масло/sound/0001.mp3,pl,0.523,Sarwom iść.
dataset/61. Ч.8. Масло/sound/0003.mp3,nl,0.436,"Avermamen door waschade, fonschadegrammen, nalgen."
dataset/61. Ч.8. Масло/sound/0005.mp3,yi,0.406,שקלת חצ'ה נלח'ה שרב
"dataset/61. Ч.9. Молоко, сметана, сыр/sound/0001.mp3",cy,0.285,"o i achser, achser yśartau, to agno, ni eisiau."
"dataset/61. Ч.9. Молоко, сметана, сыр/sound/0004.mp3",nl,0.435,als warzen nog dacht Achcher.
"dataset/61. Ч.9. Молоко, сметана, сыр/sound/0005.mp3",ps,0.208,افکت کوند اخشر اخشر شرطاوم اش دوالی ترمامن اخشر ارکا کتزه باسا واض
"dataset/61. Ч.9. Молоко, сметана, сыр/sound/0006.mp3",kk,0.435,"Галанский сыр, Ирон, Галандиак сахтумыш,"
"dataset/61. Ч.9. Молоко, сметана, сыр/sound/0008.mp3",kk,0.435,"Галанский сыр, Ирон, Галандиак сахтумыш,"
"dataset/61. Ч.9. Молоко, сметана, сыр/sound/0010.mp3",ru,0.348,аж варжен ирон уолевыхта
dataset/62. Ч.1. Одежда/sound/0001.mp3,ar,0.408,أورمام رفض شمام
dataset/62. Ч.1. Одежда/sound/0002.mp3,ar,0.305,شغوي ماده
dataset/62. Ч.1. Одежда/sound/0003.mp3,lt,0.676,švalonu midekakzaumatų.
dataset/62. Ч.1. Одежда/sound/0006.mp3,fa,0.388,کفتیچ سرشودو اصد اخشف خوششن خدون کفتی
dataset/62. Ч.1. Одежда/sound/0010.mp3,de,0.674,"Manfante Balkanen, Schau-Kastien."
dataset/62. Ч.1. Одежда/sound/0011.mp3,kk,0.184,"Малмаға шкадыл, мора кастюм хуждарфидаузан."
dataset/62. Ч.1. Одежда/sound/0012.mp3,ar,0.362,أصف بلت موالة أقنون
dataset/62. Ч.1. Одежда/sound/0013.mp3,yi,0.381,"רב דישמם הממוער תעושה, עושה שרחבים כאבא."
dataset/62. Ч.1. Одежда/sound/0018.mp3,kk,0.232,Сейарғу кушан халав.
dataset/62. Ч.1. Одежда/sound/0019.mp3,he,0.724,שעוד הגחדון.
dataset/62. Ч.2. Галантерея/sound/0001.mp3,ru,0.793,Черных не так. Два арта.
dataset/62. Ч.2. Галантерея/sound/0002.mp3,yi,0.215,קבל ממן שאו עוש אנדך עבר
dataset/62. Ч.2. Галантерея/sound/0004.mp3,kk,0.561,Феінен мамын кан налгой маді кухмар жанты.
dataset/62. Ч.2. Галантерея/sound/0007.mp3,lv,0.337,"Urš, šau, gizu, šitr saparte."
dataset/62. Ч.2. Галантерея/sound/0013.mp3,lv,0.322,"Kumatā kapron, neilon tārdar, valušdar dzandāta."
dataset/62. Ч.2. Галантерея/sound/0014.mp3,tr,0.440,Şarbatın
dataset/62. Ч.3. Обувь/sound/0001.mp3,ru,0.343,"Шардгонг, ах, Дарешвом, Ней? Зимни обуви. Жимагон."
dataset/62. Ч.3. Обувь/sound/0003.mp3,sk,0.211,"Môž skoje obvý. Noguj, Madge."
dataset/62. Ч.3. Обувь/sound/0005.mp3,de,0.228,Mancaue Toothlite.
dataset/62. Ч.3. Обувь/sound/0006.mp3,ru,0.230,Батинки. Сопоги.
dataset/62. Ч.4. Ткани/sound/0001.mp3,ar,0.328,ساوركمس دقوه
dataset/62. Ч.4. Ткани/sound/0002.mp3,ar,0.299,منقوه جيب فيشت قمس شردغون قبائن
dataset/62. Ч.4. Ткани/sound/0003.mp3,ar,0.362,أسقم أسد سشكوم تنظب خفيدا
dataset/63. Подарки/sound/0003.mp3,tr,0.230,Laplığın mamın lavarın iş tarafı gir.
dataset/63. Подарки/sound/0004.mp3,ar,0.350,ارغون
dataset/63. Подарки/sound/0005.mp3,lt,0.807,Asargas šilguoj magan.
dataset/63. Подарки/sound/0006.mp3,lt,0.520,reštim bie škara nalgojma gan
dataset/63. Подарки/sound/0008.mp3,kk,0.287,"Манды жінарғдір, ашландыр, лавар болғані"
dataset/63. Подарки/sound/0011.mp3,tr,0.596,"Kutdam kaşığı Aslı var, Şkolaza'u Aggagu."
dataset/63. Хозяйственные товары/sound/0001.mp3,ru,0.210,У АГОРАТЫ
dataset/63. Хозяйственные товары/sound/0002.mp3,hy,0.282,καو خازارادом ט fashion на tąuredmap دکانیитش
dataset/63. Хозяйственные товары/sound/0008.mp3,kk,0.442,"Манқауы цалым шагой жегалты, забуң хрқбалқаным."
dataset/63. Хозяйственные товары/sound/0013.mp3,kk,0.341,"Аварма мін, ахшаш уидыде, Карды, вилкай, ажгачіне кані, ахам, андонай."
dataset/64. Ч.1. Театр/sound/0001.mp3,uk,0.332,"Часть перве, тя!"
dataset/64. Ч.1. Театр/sound/0003.mp3,ru,0.353,ВАЗ РУСК
dataset/64. Ч.1. Театр/sound/0004.mp3,az,0.262,"Acdə, acı oqonun iron vır şagdra montiyatırmı."
dataset/64. Ч.1. Театр/sound/0007.mp3,ar,0.192,أبن إرون أرشق
dataset/64. Ч.1. Театр/sound/0008.mp3,uk,0.320,Куклато музикалом тятери.
dataset/64. Ч.1. Театр/sound/0009.mp3,fr,0.446,"C'est ça, on..."
dataset/64. Ч.1. Театр/sound/0010.mp3,ro,0.407,Manfand de Iște Iro în spectaclifene.
dataset/64. Ч.1. Театр/sound/0011.mp3,ro,0.326,Cine fost a aceea piersă.
dataset/64. Ч.1. Театр/sound/0012.mp3,ar,0.217,دجردامه فصدي سبيك تاق
dataset/64. Ч.1. Театр/sound/0013.mp3,hy,0.128,"Úlshag, framḣarāIGN teenagelichkeit sávrpiesate — Shbartā atiatr."
dataset/64. Ч.1. Театр/sound/0014.mp3,ro,0.670,Făști agraște de...
dataset/64. Ч.1. Театр/sound/0015.mp3,bg,0.437,чиве и ронхуждар драматур.
dataset/64. Ч.1. Театр/sound/0016.mp3,sq,0.294,Savar pijesate nuffaštea
dataset/64. Ч.10. Дирижер/sound/0001.mp3,tr,0.321,Arkadaşlarım
dataset/64. Ч.10. Дирижер/sound/0002.mp3,ru,0.211,хорен дирижор ЧИУ.
dataset/64. Ч.11. Режиссер/sound/0001.mp3,lt,0.635,Ti atrė spiktaklų
dataset/64. Ч.11. Режиссер/sound/0002.mp3,ja,0.357,キノイル
dataset/64. Ч.12. Искусство/sound/0001.mp3,de,0.777,"Man fandet Iran Adam Eyvadi mir bei schon geworfen. O was hier ist, Musique ist kuscht. Eyvadi muß hier um isch."
dataset/64. Ч.12. Искусство/sound/0003.mp3,de,0.985,"Fehl in meinen Köln, Fehl in Mamen Köln."
dataset/64. Ч.12. Искусство/sound/0004.mp3,ro,0.326,"Ragun Ivadă, expanată."
dataset/64. Ч.13. Архитектура/sound/0001.mp3,az,0.364,"Əsıx hazarı arki tikturı, sıkımatıg, amar əşşod u."
dataset/64. Ч.13. Архитектура/sound/0002.mp3,ar,0.114,آسخزر آرخيطيكتورة
dataset/64. Ч.13. Архитектура/sound/0003.mp3,tr,0.379,Majardama sağı. Majardama ne sağı?
